"Attach Invoice as PDF","اربط فاتورة "
"Attach Terms and Conditions","اربط شروط العقد"
"Attach Packing Slip as PDF","اربط وصل التعبئة "
"Attach Credit Memo as PDF","اربط عقد الادان"
"Attach Order as PDF","اربط الطلب التجاري"
