"Attach Invoice as PDF","Rechnung als PDF anhängen"
"Attach Terms and Conditions","AGB als Emailanhang senden"
"Attach Packing Slip as PDF","Packzettel als PDF anhängen"
"Attach Credit Memo as PDF","Gutschrift als PDF anhängen"
"Attach Order as PDF","Bestellung als PDF anhängen"
